"","date","region","country","cases","cases_7day_mean"
"1","2020-01-01","Northern Africa","Morocco",0,NA
"2","2020-01-02","Northern Africa","Morocco",0,NA
"3","2020-01-03","Northern Africa","Morocco",0,NA
"4","2020-01-04","Northern Africa","Morocco",0,0
"5","2020-01-05","Northern Africa","Morocco",0,0
"6","2020-01-06","Northern Africa","Morocco",0,0
"7","2020-01-07","Northern Africa","Morocco",0,0
"8","2020-01-08","Northern Africa","Morocco",0,0
"9","2020-01-09","Northern Africa","Morocco",0,0
"10","2020-01-10","Northern Africa","Morocco",0,0
"11","2020-01-11","Northern Africa","Morocco",0,0
"12","2020-01-12","Northern Africa","Morocco",0,0
"13","2020-01-13","Northern Africa","Morocco",0,0
"14","2020-01-14","Northern Africa","Morocco",0,0
"15","2020-01-15","Northern Africa","Morocco",0,0
"16","2020-01-16","Northern Africa","Morocco",0,0
"17","2020-01-17","Northern Africa","Morocco",0,0
"18","2020-01-18","Northern Africa","Morocco",0,0
"19","2020-01-19","Northern Africa","Morocco",0,0
"20","2020-01-20","Northern Africa","Morocco",0,0
"21","2020-01-21","Northern Africa","Morocco",0,0
"22","2020-01-22","Northern Africa","Morocco",0,0
"23","2020-01-23","Northern Africa","Morocco",0,0
"24","2020-01-24","Northern Africa","Morocco",0,0
"25","2020-01-25","Northern Africa","Morocco",0,0
"26","2020-01-26","Northern Africa","Morocco",0,0
"27","2020-01-27","Northern Africa","Morocco",0,0
"28","2020-01-28","Northern Africa","Morocco",0,0
"29","2020-01-29","Northern Africa","Morocco",0,0
"30","2020-01-30","Northern Africa","Morocco",0,0
"31","2020-01-31","Northern Africa","Morocco",0,0
"32","2020-02-01","Northern Africa","Morocco",0,0
"33","2020-02-02","Northern Africa","Morocco",0,0
"34","2020-02-03","Northern Africa","Morocco",0,0
"35","2020-02-04","Northern Africa","Morocco",0,0
"36","2020-02-05","Northern Africa","Morocco",0,0
"37","2020-02-06","Northern Africa","Morocco",0,0
"38","2020-02-07","Northern Africa","Morocco",0,0
"39","2020-02-08","Northern Africa","Morocco",0,0
"40","2020-02-09","Northern Africa","Morocco",0,0
"41","2020-02-10","Northern Africa","Morocco",0,0
"42","2020-02-11","Northern Africa","Morocco",0,0
"43","2020-02-12","Northern Africa","Morocco",0,0
"44","2020-02-13","Northern Africa","Morocco",0,0
"45","2020-02-14","Northern Africa","Morocco",0,0
"46","2020-02-15","Northern Africa","Morocco",0,0
"47","2020-02-16","Northern Africa","Morocco",0,0
"48","2020-02-17","Northern Africa","Morocco",0,0
"49","2020-02-18","Northern Africa","Morocco",0,0
"50","2020-02-19","Northern Africa","Morocco",0,0
"51","2020-02-20","Northern Africa","Morocco",0,0
"52","2020-02-21","Northern Africa","Morocco",0,0
"53","2020-02-22","Northern Africa","Morocco",0,0
"54","2020-02-23","Northern Africa","Morocco",0,0
"55","2020-02-24","Northern Africa","Morocco",0,0
"56","2020-02-25","Northern Africa","Morocco",0,0
"57","2020-02-26","Northern Africa","Morocco",0,0
"58","2020-02-27","Northern Africa","Morocco",0,0
"59","2020-02-28","Northern Africa","Morocco",0,0.142857142857143
"60","2020-02-29","Northern Africa","Morocco",0,0.142857142857143
"61","2020-03-01","Northern Africa","Morocco",0,0.285714285714286
"62","2020-03-02","Northern Africa","Morocco",1,0.285714285714286
"63","2020-03-03","Northern Africa","Morocco",0,0.285714285714286
"64","2020-03-04","Northern Africa","Morocco",1,0.285714285714286
"65","2020-03-05","Northern Africa","Morocco",0,0.285714285714286
"66","2020-03-06","Northern Africa","Morocco",0,0.142857142857143
"67","2020-03-07","Northern Africa","Morocco",0,0.285714285714286
"68","2020-03-08","Northern Africa","Morocco",0,0.571428571428571
"69","2020-03-09","Northern Africa","Morocco",0,0.571428571428571
"70","2020-03-10","Northern Africa","Morocco",1,0.714285714285714
"71","2020-03-11","Northern Africa","Morocco",3,2.14285714285714
"72","2020-03-12","Northern Africa","Morocco",0,3.71428571428571
