"","date","region","country","cases"
"1","2020-01-01","Northern Africa","Algeria",0
"2","2020-01-02","Northern Africa","Algeria",0
"3","2020-01-03","Northern Africa","Algeria",0
"4","2020-01-04","Northern Africa","Algeria",0
"5","2020-01-05","Northern Africa","Algeria",0
"6","2020-01-06","Northern Africa","Algeria",0
"7","2020-01-07","Northern Africa","Algeria",0
"8","2020-01-08","Northern Africa","Algeria",0
"9","2020-01-09","Northern Africa","Algeria",0
"10","2020-01-10","Northern Africa","Algeria",0
"11","2020-01-11","Northern Africa","Algeria",0
"12","2020-01-12","Northern Africa","Algeria",0
"13","2020-01-13","Northern Africa","Algeria",0
"14","2020-01-14","Northern Africa","Algeria",0
"15","2020-01-15","Northern Africa","Algeria",0
"16","2020-01-16","Northern Africa","Algeria",0
"17","2020-01-17","Northern Africa","Algeria",0
"18","2020-01-18","Northern Africa","Algeria",0
"19","2020-01-19","Northern Africa","Algeria",0
"20","2020-01-20","Northern Africa","Algeria",0
"21","2020-01-21","Northern Africa","Algeria",0
"22","2020-01-22","Northern Africa","Algeria",0
"23","2020-01-23","Northern Africa","Algeria",0
"24","2020-01-24","Northern Africa","Algeria",0
"25","2020-01-25","Northern Africa","Algeria",0
"26","2020-01-26","Northern Africa","Algeria",0
"27","2020-01-27","Northern Africa","Algeria",0
"28","2020-01-28","Northern Africa","Algeria",0
"29","2020-01-29","Northern Africa","Algeria",0
"30","2020-01-30","Northern Africa","Algeria",0
"31","2020-01-31","Northern Africa","Algeria",0
"32","2020-02-01","Northern Africa","Algeria",0
"33","2020-02-02","Northern Africa","Algeria",0
"34","2020-02-03","Northern Africa","Algeria",0
"35","2020-02-04","Northern Africa","Algeria",0
"36","2020-02-05","Northern Africa","Algeria",0
"37","2020-02-06","Northern Africa","Algeria",0
"38","2020-02-07","Northern Africa","Algeria",0
"39","2020-02-08","Northern Africa","Algeria",0
"40","2020-02-09","Northern Africa","Algeria",0
"41","2020-02-10","Northern Africa","Algeria",0
"42","2020-02-11","Northern Africa","Algeria",0
